algorithm,workload_type,run_id,avg_waiting_time,avg_turnaround_time,avg_response_time,throughput,cpu_utilization,fairness_index,context_switches
RR,random,5,186.53333333333333,211.3,10.966666666666667,0.0797872340425532,0.988031914893617,0.43947515175909885,348
MLFQ,random,5,175.83333333333334,212.43333333333334,4.8,0.0797872340425532,0.988031914893617,0.4550085865534602,329
FCFS,cpu_heavy,6,204.03333333333333,240.0,204.03333333333333,0.05366726296958855,0.9651162790697675,0.5080318611370936,0
RR,cpu_heavy,6,363.73333333333335,399.7,12.6,0.054945054945054944,0.9880952380952381,0.9837467109049272,511
MLFQ,cpu_heavy,6,353.6,403.9,5.0,0.054945054945054944,0.9880952380952381,0.9910926688640368,488
FCFS,io_heavy,6,17.033333333333335,21.466666666666665,17.033333333333335,0.43478260869565216,0.9637681159420289,0.5508947240877632,0
RR,io_heavy,6,20.866666666666667,25.3,7.4,0.43478260869565216,0.9637681159420289,0.528476001319684,43
MLFQ,io_heavy,6,13.633333333333333,27.833333333333332,2.8666666666666667,0.4411764705882353,0.9779411764705882,0.5248240812797061,41
FCFS,mixed,6,77.6,90.93333333333334,77.6,0.1477832512315271,0.9852216748768473,0.4197950448170178,0
RR,mixed,6,57.666666666666664,71.0,9.5,0.14634146341463414,0.975609756097561,0.5678963855098675,170
MLFQ,mixed,6,48.0,71.73333333333333,5.333333333333333,0.14705882352941177,0.9803921568627451,0.5856243510862372,121
FCFS,random,6,156.4,182.93333333333334,156.4,0.07407407407407407,0.9827160493827161,0.4564114806961589,0
RR,random,6,214.96666666666667,241.5,10.966666666666667,0.07425742574257425,0.9851485148514851,0.4338220713298623,374
MLFQ,random,6,204.46666666666667,242.73333333333332,4.5,0.07425742574257425,0.9851485148514851,0.4353507338694902,356
FCFS,cpu_heavy,7,180.6,212.4,180.6,0.059880239520958084,0.9520958083832335,0.5020024699064677,0
RR,cpu_heavy,7,308.06666666666666,339.8666666666667,12.6,0.06198347107438017,0.9855371900826446,0.9600021684931004,449
MLFQ,cpu_heavy,7,296.96666666666664,343.56666666666666,5.0,0.06172839506172839,0.9814814814814815,0.9767716492214048,421
FCFS,io_heavy,7,10.4,13.9,10.4,0.5555555555555556,0.9722222222222222,0.6045849600887888,0
RR,io_heavy,7,11.533333333333333,15.033333333333333,5.233333333333333,0.5454545454545454,0.9545454545454546,0.7674075576662325,30
MLFQ,io_heavy,7,6.333333333333333,15.2,1.8,0.5454545454545454,0.9545454545454546,0.6737909529823929,27
FCFS,mixed,7,99.83333333333333,113.06666666666666,99.83333333333333,0.1477832512315271,0.9778325123152709,0.30811662056858014,0
RR,mixed,7,61.766666666666666,75.0,10.5,0.14925373134328357,0.9875621890547264,0.7765572064898152,171
MLFQ,mixed,7,48.93333333333333,73.6,5.966666666666667,0.1477832512315271,0.9778325123152709,0.7844268580168064,125
FCFS,random,7,145.63333333333333,167.33333333333334,145.63333333333333,0.08982035928143713,0.9745508982035929,0.40381807967878186,0
RR,random,7,159.6,181.3,11.5,0.0911854103343465,0.9893617021276596,0.8326178434943581,303
MLFQ,random,7,145.03333333333333,179.33333333333334,4.866666666666666,0.09090909090909091,0.9863636363636363,0.7994598431537804,290
FCFS,cpu_heavy,8,179.46666666666667,211.76666666666668,179.46666666666667,0.061224489795918366,0.9887755102040816,0.5091445998546795,0
RR,cpu_heavy,8,317.1,349.4,12.6,0.061224489795918366,0.9887755102040816,0.9683829244102349,451
MLFQ,cpu_heavy,8,308.5,355.3,5.0,0.061224489795918366,0.9887755102040816,0.9878216691954492,430
FCFS,io_heavy,8,19.066666666666666,23.966666666666665,19.066666666666666,0.39473684210526316,0.9671052631578947,0.5955241694238982,0
RR,io_heavy,8,24.433333333333334,29.333333333333332,7.233333333333333,0.4,0.98,0.6853106458921766,50
MLFQ,io_heavy,8,17.366666666666667,31.5,3.033333333333333,0.4,0.98,0.5383319207623185,50
FCFS,mixed,8,87.83333333333333,100.2,87.83333333333333,0.15,0.9275,0.3214878796892893,0
RR,mixed,8,61.93333333333333,74.3,10.333333333333334,0.1595744680851064,0.9867021276595744,0.6837416512598506,156
MLFQ,mixed,8,49.56666666666667,72.7,4.933333333333334,0.1595744680851064,0.9867021276595744,0.695793422698078,122
FCFS,random,8,115.8,133.53333333333333,115.8,0.11152416356877323,0.9888475836431226,0.4492184553718005,0
RR,random,8,116.2,133.93333333333334,11.0,0.11194029850746269,0.9925373134328358,0.5020687197440381,236
MLFQ,random,8,100.23333333333333,130.06666666666666,4.4,0.11152416356877323,0.9888475836431226,0.4394781097099418,200
FCFS,cpu_heavy,9,196.0,231.6,196.0,0.05415162454873646,0.9638989169675091,0.5308990817567693,0
RR,cpu_heavy,9,351.53333333333336,387.1333333333333,12.6,0.055658627087198514,0.9907235621521335,0.9816842899132703,505
MLFQ,cpu_heavy,9,344.6666666666667,394.8,5.0,0.055658627087198514,0.9907235621521335,0.9897641111763489,482
FCFS,io_heavy,9,17.1,21.366666666666667,17.1,0.45454545454545453,0.9696969696969697,0.5455265104166176,0
RR,io_heavy,9,20.8,25.066666666666666,7.866666666666666,0.45454545454545453,0.9696969696969697,0.8089424344363524,41
MLFQ,io_heavy,9,11.866666666666667,27.366666666666667,3.6,0.45454545454545453,0.9696969696969697,0.6092449725774987,39
FCFS,mixed,9,80.23333333333333,93.7,80.23333333333333,0.14705882352941177,0.9901960784313726,0.36255511269988955,0
RR,mixed,9,59.13333333333333,72.6,8.666666666666666,0.14563106796116504,0.9805825242718447,0.8978079825384079,178
MLFQ,mixed,9,50.266666666666666,72.7,3.2666666666666666,0.14563106796116504,0.9805825242718447,0.6326037373018132,137
FCFS,random,9,171.33333333333334,198.4,171.33333333333334,0.07317073170731707,0.9902439024390244,0.4663740766602723,0
RR,random,9,220.66666666666666,247.73333333333332,12.233333333333333,0.07352941176470588,0.9950980392156863,0.9023427909345296,383
MLFQ,random,9,208.3,248.8,5.266666666666667,0.07352941176470588,0.9950980392156863,0.9741176046308595,369
